agitation.n.05	shaking.n.01
pitch.n.02	strike.n.05
judgment.n.03	non_prosequitur.n.01
bird_genus.n.01	spinus.n.01
song.n.03	carol.n.02
position.n.06	hot_seat.n.02
cooking.n.01	roasting.n.01
finch.n.01	bunting.n.02
centesis.n.01	amniocentesis.n.01
sporozoan.n.01	plasmodium.n.02
psychological_feature.n.01	motivation.n.01
nystagmus.n.01	rotational_nystagmus.n.01
hawk.n.01	red-shouldered_hawk.n.01
care.n.06	car_care.n.01
decision.n.01	resolution.n.11
freeze.n.04	hiring_freeze.n.01
spasm.n.02	heave.n.04
matter.n.03	substance.n.01
mission.n.03	suicide_mission.n.01
entrance.n.03	registration.n.01
defense.n.01	biological_defense.n.01
appropriation.n.03	borrowing.n.01
piciform_bird.n.01	barbet.n.01
water_snake.n.01	grass_snake.n.01
war.n.01	war_of_greek_independence.n.01
tyrannid.n.01	pitta.n.01
battle.n.01	dogfight.n.03
host.n.03	definitive_host.n.01
mollusk.n.01	scaphopod.n.01
corvine_bird.n.01	rook.n.02
secretaryship.n.01	secretary_of_war.n.01
apodiform_bird.n.01	hummingbird.n.01
owl.n.01	tawny_owl.n.01
new_world_warbler.n.01	yellowthroat.n.01
random_sampling.n.01	lucky_dip.n.02
condensing.n.01	thickening.n.03
practice.n.04	law_practice.n.01
bird.n.01	ratite.n.01
prototherian.n.01	monotreme.n.01
finch.n.01	junco.n.01
caiman.n.01	spectacled_caiman.n.01
poker.n.02	penny_ante.n.02
fish_genus.n.01	hippocampus.n.02
reptile_genus.n.01	agkistrodon.n.01
signals_intelligence.n.01	electronics_intelligence.n.01
protoctist_family.n.01	chlamydomonadaceae.n.01
bacteria_family.n.01	myxophyceae.n.01
blunder.n.01	faux_pas.n.01
square_dance.n.01	reel.n.05
ctenophore.n.01	beroe.n.01
escape.n.01	exodus.n.01
expansion.n.04	supplementation.n.02
continuance.n.01	perseverance.n.02
volition.n.02	intention.n.03
scale.n.10	fish_scale.n.01
delegating.n.01	devolution.n.02
adoration.n.02	glorification.n.03
colubrid_snake.n.01	vine_snake.n.01
ballroom_dancing.n.01	round_dance.n.02
horned_owl.n.01	great_horned_owl.n.01
bird_genus.n.01	geothlypis.n.01
fluke.n.05	fasciolopsis_buski.n.01
inhabitancy.n.01	cohabitation.n.01
storage.n.01	filing.n.04
measurement.n.01	hydrometry.n.01
bacteria_genus.n.01	genus_listeria.n.01
mammal_family.n.01	dasyuridae.n.01
custom.n.01	couvade.n.01
bird_genus.n.01	cygnus.n.02
care.n.06	camera_care.n.01
fashion.n.02	line_of_least_resistance.n.01
inventory.n.05	stocktake.n.01
acting.n.01	method_acting.n.01
pull.n.01	drag.n.06
fish_genus.n.01	genus_anomalops.n.01
production.n.07	output.n.02
bird_genus.n.01	parula.n.01
animal_virus.n.01	vesiculovirus.n.01
bird_genus.n.01	pipile.n.01
protozoan.n.01	arcella.n.01
job_action.n.01	go-slow.n.01
diagnostic_procedure.n.01	cardiography.n.01
bird_family.n.01	garrulinae.n.01
creating_by_mental_acts.n.01	programming.n.02
activity.n.01	behavior.n.04
roping.n.01	calf_roping.n.01
revolution.n.02	french_revolution.n.01
battle.n.01	pitched_battle.n.01
shell.n.10	scallop_shell.n.01
intelligence_test.n.01	stanford-binet_test.n.01
reptile_genus.n.01	genus_python.n.01
beauty_treatment.n.01	facial.n.02
amphibian_genus.n.01	xenopus.n.01
descent.n.03	rappel.n.01
non-engagement.n.01	isolation.n.05
reptile_genus.n.01	lacerta.n.01
fluke.n.05	liver_fluke.n.01
hook.n.07	roundhouse.n.02
nullification.n.02	cancellation.n.01
organism.n.01	host.n.03
arthropod_genus.n.01	ixodes.n.01
ornithischian.n.01	hadrosaur.n.01
medical_care.n.01	digitalization.n.01
organization.n.04	syndication.n.01
motion.n.03	agitation.n.05
beginning.n.05	first_step.n.01
gesture.n.03	beau_geste.n.01
position.n.06	librarianship.n.01
enticement.n.03	solicitation.n.03
domination.n.01	monopolization.n.01
accomplishment.n.01	fait_accompli.n.01
bird_genus.n.01	saxicola.n.01
activity.n.01	negotiation.n.02
protoctist.n.01	alga.n.01
termination.n.05	relinquishment.n.02
payment.n.02	amortization.n.02
sexual_conquest.n.01	cuckoldry.n.01
amphibian_family.n.01	bufonidae.n.01
change.n.03	reduction.n.03
destruction.n.01	disaster.n.03
automation.n.01	computerization.n.01
wrestling_hold.n.01	bear_hug.n.01
radiography.n.02	roentgenography.n.01
disobedience.n.01	contempt.n.04
undercover_operation.n.01	buy-and-bust_operation.n.01
procedure.n.01	genetic_profiling.n.01
stingray.n.01	butterfly_ray.n.01
imprisonment.n.03	false_imprisonment.n.01
search.n.01	manhunt.n.01
ballroom_dancing.n.01	two-step.n.01
score.n.10	hat_trick.n.01
fish_genus.n.01	photoblepharon.n.01
bath.n.02	mud_bath.n.01
idolization.n.02	bardolatry.n.01
forward_pass.n.01	flare_pass.n.01
fish_genus.n.01	cosmocampus.n.01
python.n.01	carpet_snake.n.01
work.n.01	ironing.n.02
transgression.n.01	terrorization.n.02
animal_virus.n.01	alphavirus.n.01
new_world_sparrow.n.01	swamp_sparrow.n.01
fire.n.02	preparation_fire.n.01
change_of_shape.n.01	protrusion.n.02
art.n.02	topiary.n.02
oscine.n.01	lark.n.03
course.n.01	course_of_lectures.n.01
mite.n.02	web-spinning_mite.n.01
tennis_stroke.n.01	serve.n.01
amphibian_genus.n.01	proteidae.n.01
freeze.n.04	wage_freeze.n.01
payment.n.02	overpayment.n.02
germ_layer.n.01	ectoderm.n.01
bowling.n.01	ninepins.n.01
fish_genus.n.01	squalus.n.01
cobra.n.01	black-necked_cobra.n.01
singing.n.01	intonation.n.03
amble.n.01	ramble.n.01
animal_virus.n.01	hepadnavirus.n.01
reflex.n.01	startle.n.01
