strategic_intelligence.n.01	preventive_medicine.n.01
detente.n.01	forwarding.n.02
german_lesson.n.01	onychophoran.n.01
syracuse.n.03	rupture.n.03
screen_test.n.01	scottish_deerhound.n.01
feather.n.01	terrorist_attack.n.01
territoriality.n.01	genus_tetrahymena.n.01
highjacking.n.01	abaya.n.01
eft.n.01	bighorn.n.02
anode.n.01	ball_valve.n.01
aoudad.n.01	christening.n.01
carpet_bombing.n.01	mardi_gras.n.02
molestation.n.01	lipotyphla.n.01
coccinellidae.n.01	lamnidae.n.01
mammal.n.01	riffle.n.02
gallinaceous_bird.n.01	paprilus.n.01
bucerotidae.n.01	pest.n.04
beroe.n.01	exemption.n.03
anseriformes.n.01	feather.n.02
osprey.n.01	water_travel.n.01
conviction.n.02	long_fly.n.01
blindman's_bluff.n.01	cymatiidae.n.01
handspring.n.01	spirochaetales.n.01
vicugna.n.01	missel_thrush.n.01
hog.n.02	notoryctidae.n.01
pied_lemming.n.01	feria.n.02
palinurus.n.01	cultivation.n.01
electrophorus.n.02	monopoly.n.03
spirulidae.n.01	genus_tamandua.n.01
corn_dance.n.01	protoctist_genus.n.01
venus's_girdle.n.01	ammotragus.n.01
tympanuchus.n.01	iteration.n.03
footwork.n.01	altarpiece.n.01
carangidae.n.01	overreaction.n.01
obedience.n.03	anthonomus.n.01
dutch_auction.n.01	klondike.n.02
danaus.n.01	genus_anatotitan.n.01
drosophilidae.n.01	career.n.01
green_snake.n.01	hippodamia.n.01
leveraged_buyout.n.01	enhydra.n.01
evasion.n.02	tail_feather.n.01
basking_shark.n.01	rinse.n.03
tytonidae.n.01	melinae.n.01
fluff.n.03	night_snake.n.01
admission.n.01	larceny.n.01
agamidae.n.01	nutcracker.n.03
kwajalein.n.02	coccus.n.01
xenicus.n.01	natterjack.n.01
sloth.n.03	blackmail.n.01
demonstration.n.03	ceremony.n.02
credit.n.04	fly.n.01
voice.n.05	liposuction.n.01
herpes.n.02	pleurodont.n.01
crocodile_bird.n.01	pentastomida.n.01
lowering.n.01	astatic_coils.n.01
lutra.n.01	genus_sagitta.n.01
blastoff.n.01	gosling.n.01
stoat.n.01	european_lemming.n.01
dark_adaptation.n.01	punic_war.n.01
banking.n.02	bet.n.02
harness_horse.n.01	erolia.n.01
sylviidae.n.01	fusion_cooking.n.01
american_cockroach.n.01	air-intake.n.01
pseudaletia.n.01	natterjack.n.01
armoire.n.01	mulloidichthys.n.01
little_chief_hare.n.01	modeling.n.02
dromaeosaur.n.01	emergence.n.03
vespula.n.01	brill.n.01
new_world_warbler.n.01	affray.n.02
laying_on_of_hands.n.01	petersburg.n.02
re-establishment.n.01	expurgation.n.01
utahraptor.n.01	wholesale.n.01
bellwether.n.02	mudra.n.01
scamper.n.01	tapering.n.01
coccinellidae.n.01	minnie_mouse.n.01
human_botfly.n.01	dancing.n.01
snap.n.12	trick.n.03
lynx.n.02	play.n.06
snake_muishond.n.01	malingering.n.01
argiopidae.n.01	plains_pocket_mouse.n.01
lacerta.n.01	sipuncula.n.01
hylobatidae.n.01	change_of_shape.n.01
chamaea.n.01	sitophylus.n.01
idolatry.n.02	ruffed_grouse.n.01
teaching_reading.n.01	football_score.n.01
arctiid.n.01	pyrophorus.n.01
reassurance.n.01	lamination.n.02
phycobilin.n.01	tetragonurus.n.01
afghan_hound.n.01	subbing.n.01
bacteroides.n.01	down-bow.n.01
ball_game.n.01	determination.n.01
bouvier_des_flandres.n.01	smack.n.06
cabbage_butterfly.n.01	whale_shark.n.01
white-breasted_nuthatch.n.01	dressage.n.01
flycatching_warbler.n.01	drumming.n.01
serve.n.01	leisure.n.02
bar.n.15	hylobates.n.01
screening.n.04	aim.n.03
dressage.n.01	strain.n.10
redbone.n.01	carcharias.n.01
raid.n.02	weakfish.n.02
indexing.n.01	immobilization.n.01
hurl.n.01	pelvic_fin.n.01
shearwater.n.01	flathead.n.02
bluegill.n.01	auxiliary_pump.n.01
atlantic_spiny_dogfish.n.01	myxine.n.01
